drug_1,drug_2,similarity
"INSULIN, REGULAR, HUMAN",INSULIN SENSITIZER S-707106,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN DEGLUDEC,0.959
"INSULIN, REGULAR, HUMAN",INSULIN PURIFIED PORK,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP PURIFIED PORK,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.9744
"INSULIN, REGULAR, HUMAN","INSULIN ZINC, EXTENDED",0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP RECOMBINANT HUMAN,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ASPART PROTAMINE RECOMBINANT,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN LISPRO-AABC,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.9744
2MD,CALCITRIOL,0.7419
2MD,CALCIFEDIOL ANHYDROUS,0.7258
2MD,BECOCALCIDIOL,0.7321
"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE","2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE",0.7179
WB 4101,"2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)",0.9773
ALPROSTADIL,DINOPROSTONE,0.7273
CYTARABINE,CYTARABINE HYDROCHLORIDE,0.973
VILANTEROL,VILANTEROL TRIFENATATE,0.8095
VILANTEROL,VILANTEROL .ALPHA.-PHENYL CINNAMATE,0.75
YOHIMBINE,RAUWOLSCINE,1.0
YOHIMBINE,YOHIMBINE HYDROCHLORIDE,0.9811
YOHIMBINE,CORYNANTHINE,1.0
YOHIMBINE,[3H]RAUWOLSCINE,1.0
PROPANTHELINE BROMIDE,METHANTHELINE BROMIDE,0.7174
PROPANTHELINE BROMIDE,PROPANTHELINE,0.975
THIORIDAZINE,MESORIDAZINE,0.7037
APIGENIN,TRICETIN,0.7222
APIGENIN,LUTEOLIN,0.7778
APIGENIN,ACACETIN,0.7436
APIGENIN,SCUTELLAREIN,0.7027
APIGENIN,CHRYSIN,0.8
BEFIRADOL,[3H]NLX-112,1.0
BEFIRADOL,NLX-101,0.8
LOBELINE HYDROCHLORIDE,LOBELINE,0.975
NONIVAMIDE,OLVANIL,0.8864
NONIVAMIDE,DIHYDROCAPSAICIN,0.7609
NEFAZODONE,NEFAZODONE HYDROCHLORIDE,0.9828
AT-7519,CDK INHIBITOR AT7519,1.0
GLUTETHIMIDE,AMINOGLUTETHIMIDE,0.7222
ROLAPITANT,ROLAPITANT HYDROCHLORIDE,0.9821
ENCLOMIPHENE CITRATE,CLOMIPHENE CITRATE,1.0
ENCLOMIPHENE CITRATE,CLOMIPHENE,0.75
ENCLOMIPHENE CITRATE,ENCLOMIPHENE,0.75
NALTREXONE HYDROCHLORIDE,NOR-BINALTORPHIMINE,0.7
NALTREXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,0.75
NALTREXONE HYDROCHLORIDE,NALTREXONE,0.9808
NALTREXONE HYDROCHLORIDE,NALMEFENE,0.7759
NALTREXONE HYDROCHLORIDE,OXYMORPHONE,0.7069
NALTREXONE HYDROCHLORIDE,NALMEFENE HYDROCHLORIDE,0.7931
LACTOSE,MALTOTRIOSE,1.0
LACTOSE,MALTOSE,1.0
LACTOSE,BETA-GLUCAN,1.0
ERGOTAMINE,ERGOCRISTINE,0.8352
ERGOTAMINE,ERGOTAMINE TARTRATE,0.9425
AZITHROMYCIN,ERYTHROMYCIN,0.8072
AZITHROMYCIN,ERYTHROMYCIN STEARATE,0.7053
AZITHROMYCIN,ROXITHROMYCIN,0.701
AZITHROMYCIN,CLARITHROMYCIN,0.7619
AZITHROMYCIN,ME36,0.7471
METHYLERGONOVINE,METHYLERGONOVINE MALEATE,0.9048
METHYLERGONOVINE,METHYSERGIDE,0.7231
METHYLERGONOVINE,ERGONOVINE,0.8065
METHYLERGONOVINE,ERGOT ALKALOIDS,0.7353
COMPOUND 13R [PMID: 23639540],COMPOUND 13D [PMID: 23639540],0.8148
NOR-BINALTORPHIMINE,NALTRINDOLE,0.8167
NOR-BINALTORPHIMINE,NALTREXONE,0.7119
NOR-BINALTORPHIMINE,5'-GUANIDINONALTRINDOLE,0.7353
NOR-BINALTORPHIMINE,NALMEFENE,0.7119
NOR-BINALTORPHIMINE,NALTRIBEN,0.7302
NOR-BINALTORPHIMINE,NALMEFENE HYDROCHLORIDE,0.7
LIRAGLUTIDE,TEDUGLUTIDE,0.7714
LIRAGLUTIDE,VASOACTIVE INTESTINAL PEPTIDE,0.7122
LIRAGLUTIDE,FE 203799,0.7826
LIRAGLUTIDE,DULAGLUTIDE,0.7133
LIRAGLUTIDE,GLUCAGON (RDNA),0.766
LIRAGLUTIDE,COTADUTIDE,0.8214
LIRAGLUTIDE,TASPOGLUTIDE,0.7862
LIRAGLUTIDE,SEMAGLUTIDE,0.8435
LIRAGLUTIDE,GLUCAGON HYDROCHLORIDE,0.7606
LIRAGLUTIDE,ALBIGLUTIDE,0.8444
LIRAGLUTIDE,SECRETIN SYNTHETIC PORCINE,0.7077
LIRAGLUTIDE,GLP-2 ANALOGUE 10,0.7842
AS95,AS99,0.7971
AS95,MRE 2029F20,0.7432
AS95,AS100,0.7971
AS95,AS94,0.8406
TERAZOSIN HYDROCHLORIDE,TERAZOSIN,0.9811
TERAZOSIN HYDROCHLORIDE,TERAZOSIN HYDROCHLORIDE HYDRATE,0.9815
FORETINIB,CANLITINIB,0.7375
RAMIPRIL,TRANDOLAPRIL,0.9636
RAMIPRIL,PERINDOPRIL,0.7719
RAMIPRIL,TRANDOLAPRILAT,0.7931
RAMIPRIL,RAMIPRILAT,0.8246
HISTAMINE,HISTAMINE PHOSPHATE,0.7778
HISTAMINE,IMPENTAMINE,0.7037
HISTAMINE,IMBUTAMINE,0.7308
(R)-UH 301,(S)-UH 301,1.0
RISPERIDONE,PALIPERIDONE,0.7465
RISPERIDONE,9-OH-RISPERIDONE,0.7857
FLUDROCORTISONE ACETATE,ISOFLUPREDONE ACETATE,0.7121
FLUDROCORTISONE ACETATE,FLUDROCORTISONE,0.7833
FASUDIL,FASUDIL HYDROCHLORIDE,0.9762
PHENETHYL ISOTHIOCYANATE,PHENETHYLISOTHIOCYANATE,1.0
MINAPRINE,MINAPRINE HYDROCHLORIDE,0.9767
METHACHOLINE CHLORIDE,METHACHOLINE,0.9545
E6201,E-6201,1.0
E6201,MEK-1/MEKK-1 INHIBITOR E6201,1.0
"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",PYRROLIDINE DITHIOCARBAMATE,0.9333
MYCOPHENOLATE,MYCOPHENOLATE SODIUM,0.8235
CPN-219,CPN-116,0.9091
CPN-219,COMPOUND 6B [PMID: 24999562],0.8861
IVABRADINE HYDROCHLORIDE,IVABRADINE,0.98
QUININE,QUINIDINE SULFATE,0.9153
QUININE,QUINIDINE,1.0
QUININE,QUINIDINE GLUCONATE,0.7714
QUININE,QUININE ETHYLCARBONATE,0.7353
QUININE,QUINIDINE POLYGALACTURONATE,1.0
SURAMIN,SURAMIN HEXASODIUM,0.7419
SURAMIN,NF157,0.7966
(-)-TERTATOLOL,TERTATOLOL,1.0
KAEMPHEROL,MYRICETIN,0.75
KAEMPHEROL,MORIN,0.75
KAEMPHEROL,QUERCETIN,0.7838
KAEMPHEROL,GALANGIN,0.8056
KAEMPHEROL,QUERCETIN DIHYDRATE,0.7632
KAEMPHEROL,KAEMPFERIDE,0.75
CONIVAPTAN,CONIVAPTAN HYDROCHLORIDE,0.9825
"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",PAROXETINE HYDROCHLORIDE,0.9783
"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",[3H]PAROXETINE,0.9565
LY-255283,LY255283,1.0
PANOBINOSTAT,PANOBINOSTAT LACTATE,0.8727
TICLOPIDINE,TICLOPIDINE HYDROCHLORIDE,0.9714
2X-121,PARP/TANKYRASE INHIBITOR 2X-121,1.0
METHOTREXATE,AMINOPTERIN,0.7077
METHOTREXATE,METHOTREXATE SODIUM,0.7727
OCTREOTIDE ACETATE,SANDOSTATIN,1.0
OCTREOTIDE ACETATE,VAPREOTIDE,0.7524
OCTREOTIDE ACETATE,EDOTREOTIDE,0.7477
OCTREOTIDE ACETATE,TT-232,0.7723
OCTREOTIDE ACETATE,LANREOTIDE ACETATE,0.7027
OCTREOTIDE ACETATE,BIM 23060,0.7864
OCTREOTIDE ACETATE,VAPREOTIDE ACETATE,0.7619
OCTREOTIDE ACETATE,DES-AA5-[D-TRP8]SRIF,0.7087
OCTREOTIDE ACETATE,BIM 23023,0.7429
VINCRISTINE,VINCRISTINE SULFATE,0.9694
VINCRISTINE,VINBLASTINE SULFATE,0.8738
VINCRISTINE,VINBLASTINE,0.89
VINCRISTINE,VINDESINE SULFATE,0.7387
VINCRISTINE,VINDESINE,0.75
PENTOSAN POLYSULFATE,PENTOSAN POLYSULFATE SODIUM,1.0
VARDENAFIL,VARDENAFIL HYDROCHLORIDE TRIHYDRATE,0.9688
NICOTINE POLACRILEX,NICOTINE BITARTRATE,0.725
VISTUSERTIB,MTI-31,0.8438
GITOXIN,DIGOXIN,0.7237
GITOXIN,DIGITOXIN,0.8194
5-HYDROXYMETHYL-2-FURFURAL,AES-103,1.0
ERLOTINIB,ERLOTINIB HYDROCHLORIDE,0.9792
PROPRANOLOL HYDROCHLORIDE,DEXPROPRANOLOL HYDROCHLORIDE,1.0
PROPRANOLOL HYDROCHLORIDE,DEXPROPRANOLOL,0.9714
COBIMETINIB,COBIMETINIB FUMARATE,0.9048
ERGOCRISTINE,BROMOCRIPTINE,0.7
ERGOCRISTINE,DIHYDROERGOCRISTINE,0.7143
ERGOCRISTINE,ERGOTAMINE TARTRATE,0.8105
ERGOCRISTINE,ERGOCORNINE,0.8132
ERGOCRISTINE,BETA-ERGOCRIPTINE,0.8172
APOMORPHINE,SKF-76783,0.7292
APOMORPHINE,APOMORPHINE HYDROCHLORIDE HEMIHYDRATE,0.9512
APOMORPHINE,(-)-N-PORPHYNORAPOMORPHINE,0.7292
APOMORPHINE,N-PROPYLNORAPOMORPHINE,0.7292
APOMORPHINE,S(+)-APOMORPHINE,1.0
APOMORPHINE,APOCIDEINE,0.7447
PIFUSERTIB,TAS-117,1.0
L689560,[3H]L689560,1.0
BUTALBITAL,PROXIBARBAL,0.75
ERYTHROMYCIN,ERYTHROMYCIN STEARATE,0.8588
ERYTHROMYCIN,ERYTHROMYCIN GLUCEPTATE,0.8111
ERYTHROMYCIN,ERYTHROMYCIN ACISTRATE,0.7419
ERYTHROMYCIN,ROXITHROMYCIN,0.7692
ERYTHROMYCIN,CLARITHROMYCIN,0.92
ERYTHROMYCIN,ERYTHROMYCIN LACTOBIONATE,0.7374
ERYTHROMYCIN,ME36,0.8974
ERYTHROMYCIN,ERYTHROMYCIN ESTOLATE,0.7041
6-O-BENZYLGUANINE,O6-BENZYLGUANINE,1.0
TRIAZOLAM,ALPRAZOLAM,0.766
ESKETAMINE,ESKETAMINE HYDROCHLORIDE,0.9697
ESKETAMINE,KETAMINE HYDROCHLORIDE,0.9697
CHLORAMPHENICOL SODIUM SUCCINATE,CHLORAMPHENICOL PALMITATE,0.7593
KW-2449,FLT3/ABL/AURORA KINASE INHIBITOR KW-2449,1.0
AESCULIOSIDE IIA,AESCULIOSIDE IIIF,0.9302
AESCULIOSIDE IIA,AESCULIOSIDE IIIB,0.7755
AESCULIOSIDE IIA,AESCULIOSIDE IIC,0.8352
AESCULIOSIDE IIA,AESCULIOSIDE IVA,0.8421
AESCULIOSIDE IIA,AESCULIOSIDE IIK,0.7789
AESCULIOSIDE IIA,AESCULIOSIDE IIB,0.75
AESCULIOSIDE IIA,AESCULIOSIDE IID,0.7143
AESCULIOSIDE IIA,AESCULIOSIDE IIID,0.8352
AESCULIOSIDE IIA,AESCULIOSIDE IIE,0.8085
AESCULIOSIDE IIA,AESCULIOSIDE IIIC,0.8421
AESCULIOSIDE IIA,AESCULIOSIDE IIIE,0.8352
AESCULIOSIDE IIA,AESCULIOSIDE IVC,0.7327
CARBENOXOLONE,CARBENOXOLONE SODIUM,0.7681
CARBENOXOLONE,ENOXOLONE,0.7077
CARBENOXOLONE,GLYCYRRHETINIC ACID,0.7077
BENZQUINAMIDE,BENZQUINAMIDE HYDROCHLORIDE,0.9811
NTE-1,NTE-2,0.8
SB 242084,SB 243213,0.7727
MELPHALAN,SARCOLYSIN,1.0
MELPHALAN,(R)-MELPHALAN,1.0
ETHACRYNIC ACID,ETHACRYNATE SODIUM,0.7619
SRT2104,SRT-2104,1.0
DEQUALINIUM,DEQUALINIUM CHLORIDE,0.9677
ASPIRIN,ALOXIPRIN,0.9231
TRAMADOL,DESMETRAMADOL,0.7273
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,EGFR INHIBITOR,1.0
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE,0.7222
ALARELIN,HISTRELIN ACETATE,0.8359
ALARELIN,GONADORELIN ACETATE,0.8374
ALARELIN,NAFARELIN,0.8306
ALARELIN,LEUPROLIDE ACETATE,0.9386
ALARELIN,GONADORELIN HYDROCHLORIDE,0.8512
ALARELIN,GONADORELIN,0.8583
ALARELIN,BUSERELIN,0.8843
ALARELIN,FERTIRELIN,0.9224
ALARELIN,[TRP8]GNRH,0.7521
ALARELIN,GOSERELIN ACETATE,0.7953
ALARELIN,[GLN8]GNRH,0.7561
ALARELIN,LEUPROLIDE MESYLATE,0.9386
ALARELIN,DESLORELIN,0.964
ALARELIN,[SER8]GNRH,0.7521
ALARELIN,NAFARELIN ACETATE,0.811
ALARELIN,"[125I]GNRH I (HUMAN, MOUSE, RAT)",0.8583
ALARELIN,BUSERELIN ACETATE,0.8699
ALARELIN,LUTEINIZING HORMONE,0.8374
ALARELIN,TRIPTORELIN,0.8879
ALARELIN,GNRH I,0.7583
ALARELIN,TRIPTORELIN PAMOATE,0.7803
NILOTINIB,RADOTINIB,0.8267
ORBIFLOXACIN,SPARFLOXACIN,0.84
XANOMELINE,[11C]XANOMELINE,1.0
XANOMELINE,XANOMELINE TARTRATE,0.8039
OLAPARIB,"4-[3-(1,4-DIAZEPAN-1-YLCARBONYL)-4-FLUOROBENZYL]PHTHALAZIN-1(2H)-ONE",0.7143
DOXACURIUM CHLORIDE,MIVACURIUM,0.7213
DOXACURIUM CHLORIDE,MIVACURIUM CHLORIDE,0.7377
RESERPINE,SYROSINGOPINE,0.8481
RESERPINE,DESERPIDINE,0.8356
RESERPINE,RESCINNAMINE,0.8077
LORAZEPAM,OXAZEPAM,0.75
CILASTATIN,CILASTATIN SODIUM,0.8235
CASOXIN C,MOTILIN-(1-13) (HUMAN),0.735
CASOXIN C,CXCL12-(1-9) DIMER,0.7143
CASOXIN C,MOTILIN-(1-12) (HUMAN),0.7818
CASOXIN C,CXCL12-(1-9),0.7143
METHOTRIMEPRAZINE,LEVOMEPROMAZINE MALEATE,0.8235
METHOTRIMEPRAZINE,TRIMEPRAZINE,0.7381
METHOTRIMEPRAZINE,DEXTROMEPROMAZINE,1.0
CLOZAPINE,N-DESMETHYLCLOZAPINE,0.7609
ORPHENADRINE HYDROCHLORIDE,ORPHENADRINE,0.9697
ORPHENADRINE HYDROCHLORIDE,DIPHENHYDRAMINE,0.7059
ORPHENADRINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,0.7353
PENTOXIFYLLINE,PROPENTOFYLLINE,0.7273
PEXIDARTINIB HYDROCHLORIDE,PEXIDARTINIB,0.98
CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,0.9762
DIGOXIN,DIGITOXIN,0.8056
DIGOXIN,LANATOSIDE C,0.7045
DIGOXIN,ACETYLDIGOXIN,0.84
DIGOXIN,DESLANOSIDE,0.7949
DIGOXIN,METILDIGOXIN,0.8841
IDARUBICIN,CAELYX,0.7105
IDARUBICIN,DOXORUBICIN HYDROCHLORIDE,0.7105
IDARUBICIN,ADRIAMYCIN,0.72
IDARUBICIN,EPIRUBICIN,0.72
IDARUBICIN,ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC,0.8286
IDARUBICIN,DAUNORUBICIN HYDROCHLORIDE,0.8169
IDARUBICIN,EPIRUBICIN HYDROCHLORIDE,0.7105
IDARUBICIN,DAUNORUBICIN LIPOSOMAL,0.7073
IDARUBICIN,DOXORUBICIN LIPOSOME,0.72
IDARUBICIN,CARUBICIN,0.8788
IDARUBICIN,DAUNORUBICIN CITRATE,0.7073
IDARUBICIN,SABARUBICIN,0.8235
FLURAZEPAM,FLURAZEPAM HYDROCHLORIDE,0.98
NELFINAVIR,NELFINAVIR MESYLATE,0.9444
UROFOLLITROPIN,[PHE3]OT,0.7857
UROFOLLITROPIN,ARGIPRESTOCIN,0.7736
UROFOLLITROPIN,[VAL4]AVP,0.7333
