gene_1,gene_2,score
EIF2AK3,CALR,714
EIF2AK3,CHUK,919
EIF2AK3,BCL2,729
EIF2AK3,CASP3,776
EIF2AK3,GAPDH,732
EIF2AK3,ACTB,772
PDHB,PDK1,984
PDHB,BCAT2,736
PDHB,PPP3CB,743
PDHB,PC,959
PDHB,SDHB,735
PDHB,TXNRD2,840
PDHB,FBP1,786
PDHB,RPSA,713
PDHB,ATP5F1C,913
PDHB,FBP2,735
PDHB,G6PD,878
PDHB,PKLR,966
PDHB,GAPDH,815
PDHB,ALDOB,913
PDHB,STAT5A,804
PDHB,TXNRD1,837
PDHB,ME3,950
PDHB,NDUFS1,809
PDHB,NDUFAB1,741
PDHB,PDK3,961
PDHB,OGDH,947
PDHB,ALDOA,930
PDHB,NDUFB6,770
PDHB,TXNRD3,830
PDHB,ALDOC,921
PDHB,PKM,983
PDHB,PDK2,974
PDHB,LDHA,961
PDHB,NDUFV1,738
PDHB,GPI,981
PDHB,DBT,957
PDHB,ATP5F1A,810
PDHB,DLST,974
PDHB,MDH2,850
PDHB,PDHA1,999
P2RY12,ITGB3,704
P2RY12,GP6,856
P2RY12,GNAI2,946
P2RY12,C1QA,714
P2RY12,ABCB1,705
P2RY12,GNAI1,915
P2RY12,P2RY14,807
P2RY12,P2RX7,733
P2RY12,P2RY13,901
P2RY12,GPR17,755
P2RY12,CYP2C19,912
P2RY12,TF,742
P2RY12,P2RY4,756
RPTOR,PRKAG3,932
RPTOR,NPR3,740
RPTOR,PIK3R4,710
RPTOR,STK11,787
RPTOR,EFNA5,975
RPTOR,AKT1S1,999
RPTOR,LAMP1,996
RPTOR,AKT2,976
RPTOR,SGK1,835
RPTOR,TEP1,744
RPTOR,EIF4EBP2,980
RPTOR,AKT1,996
RPTOR,PRKAG1,939
RPTOR,MTOR,999
RPTOR,FKBP1A,999
RPTOR,EIF4B,831
RPTOR,PRKAA1,965
RPTOR,AKT3,959
RPTOR,SQSTM1,939
RPTOR,EIF4E,949
RPTOR,PDK1,765
RPTOR,RPS6KA1,859
RPTOR,PRKAB1,947
RPTOR,HIF1A,866
RPTOR,RPS6KB2,993
RPTOR,INS,764
RPTOR,DDIT4,840
RPTOR,PRKDC,876
RPTOR,MLST8,999
RPTOR,EIF4EBP1,999
RPTOR,ESR1,701
RPTOR,RPS6,900
RPTOR,PRKAA2,973
RPTOR,LARS1,746
DDIT4,AKT1,732
DDIT4,MTOR,800
DDIT4,TXNIP,991
CST2,CSTP1,917
AGAP1,ARF1,902
TSPAN5,ERICH3,742
HTR1E,GNG7,818
HTR1E,EDN3,712
HTR1E,HTR1B,749
HTR1E,HTR3A,784
HTR1E,GNG4,701
HTR1E,HTR1D,742
HTR1E,GNAI1,967
RPL13,TUBB1,856
RPL13,EEF1B2,962
RPL13,SRPRB,817
RPL13,G6PD,723
RPL13,PABPC1,702
RPL13,TEX10,765
RPL13,EEF1A1,991
RPL13,ERF,948
RPL13,BTF3,945
RPL13,GNL3,806
RPL13,NOP2,818
RPL13,RRP1B,848
RPL13,SRP19,896
RPL13,EEF1D,877
RPL13,NGB,982
RPL13,NOC3L,876
RPL13,RPL13A,999
RPL13,GSPT1,930
RPL13,TPT1,960
RPL13,RPL32,999
GLUL,NDUFS8,794
GLUL,GMPS,906
GLUL,CTPS1,758
GLUL,PLG,708
GLUL,ASNS,861
GLUL,CBS,731
GLUL,ALDH1B1,846
GLUL,FDXR,738
GLUL,ALDH7A1,844
GLUL,GK,927
GLUL,NDUFV1,720
GLUL,EPRS1,855
GLUL,GGT7,850
GLUL,GAD2,948
GLUL,GLS,987
GLUL,CPS1,972
GLUL,GLDC,898
GLUL,GCLM,853
GLUL,PC,941
GLUL,ALDH9A1,842
GLUL,PRDX4,804
GLUL,ARG1,747
GLUL,GFPT1,965
GLUL,OPLAH,816
GLUL,GCLC,853
GLUL,HSPD1,888
GLUL,GATM,855
GLUL,OAT,710
GLUL,ALDH3A2,840
EEF2,RPL23A,999
EEF2,RPL23,996
EEF2,HNRNPA1,777
EEF2,ERF,796
EEF2,RPS20,999
EEF2,EEF1A1,982
EEF2,RPL10A,997
EEF2,RPS25,998
EEF2,RPS6,999
EEF2,RPL26,996
EEF2,RPL24,998
EEF2,RPL37A,997
EEF2,RPS15,999
EEF2,RPS2,999
EEF2,RPS8,999
EEF2,EEF1G,994
EEF2,CDC5L,727
EEF2,GAPDH,810
EEF2,MRPL36,936
EEF2,RPS17,997
EEF2,RPL30,999
EEF2,RPS28,999
EEF2,RPS5,999
EEF2,HNRNPH1,711
EEF2,PABPC1,775
EEF2,RPLP1,985
EEF2,RPS4X,998
EEF2,RPS7,998
EEF2,RPL4,999
EEF2,RPSA,999
EEF2,RPL15,999
EEF2,SNW1,727
EEF2,RPS19,999
EEF2,ATP5F1C,773
EEF2,HSP90AA1,879
EEF2,RPL10,996
EEF2,RPL34,998
EEF2,RPS18,999
EEF2,RPL5,999
EEF2,RPS16,999
EEF2,RPL7,997
EEF2,RPL9P8,999
EEF2,EIF4E,837
EEF2,RPL18,999
EEF2,RPS21,998
EEF2,EEF1B2,937
EEF2,RPS24,998
EEF2,RPL11,999
EEF2,RPL7A,999
EEF2,HSP90AB1,868
EEF2,RPL27A,999
EEF2,RPS10,993
EEF2,RPL36,997
EEF2,RPL6,999
EEF2,EIF4B,862
EEF2,RPL32,999
EEF2,RPLP0,999
EEF2,TPT1,739
EEF2,RPL22,990
EEF2,RPL27,999
EEF2,RPL36A,986
EEF2,NPSR1,905
EEF2,FAU,998
EEF2,RPS13,999
EEF2,EIF5A,996
EEF2,RPS3A,999
EEF2,RPS15A,993
EEF2,RPS14,996
EEF2,RPL12,999
EEF2,EEF1D,842
EEF2,EPRS1,773
EEF2,RPL38,998
EEF2,RPL13A,997
EEF2,RPL39,988
EEF2,RPL17,987
EEF2,HSPA8,841
EEF2,ATP5F1A,850
EEF2,RPS9,999
EEF2,EIF4G1,794
EEF2,HNRNPA2B1,744
EEF2,PGK1,839
EEF2,HSPA5,858
EEF2,ENO1,876
EEF2,RPS26,998
EEF2,RPS29,998
EEF2,RPL14,999
EEF2,RPL21,998
EEF2,RPL41,752
EEF2,POLR3A,721
EEF2,RPL35A,998
EEF2,RPL31,998
EEF2,RPL3,999
EEF2,RPL28,998
EEF2,RPS27,992
DST,EVPL,753
DST,COL17A1,999
DST,LAMA3,839
DST,DSP,762
PCSK1,MLKL,851
PCSK1,INS,911
PCSK1,GCG,909
PCSK1,SH2B1,746
PCSK1,GHRL,844
PCSK1,POMC,946
PCSK1,LEP,804
PCSK1,FTO,801
OR10P1,GRK3,732
OR10P1,GRK2,707
OR10P1,ARRB1,701
OR10P1,ARRB2,700
CD248,FNZ,968
MMP14,GNAI2,906
MMP14,PLAU,764
MMP14,MMP9,831
MMP14,CTTN,792
MMP14,GNAI1,904
MMP14,SLC7A11,740
MMP14,CD44,919
MMP14,HSPG2,864
MMP14,CAV1,794
MMP14,FNZ,818
MMP14,SRC,742
PPP1R3B,PPP1CB,970
PPP1R3B,GYS1,987
PPP1R3B,PPP1CA,985
PPP1R3B,GYG1,711
MLKL,DIABLO,702
MLKL,CFLAR,801
MLKL,NLRP3,959
MLKL,TNF,998
MLKL,CASP1,752
MLKL,CASP3,718
MLKL,CASP8,969
MLKL,HSP90AA1,944
MLKL,HSP90AB1,943
P2RY14,P2RY13,766
RPS6KB2,PDPK1,959
RPS6KB2,MLST8,975
RPS6KB2,EIF4EBP1,837
RPS6KB2,RPS6,996
RPS6KB2,ESR1,935
RPS6KB2,ESR2,910
RPS6KB2,EIF4E,905
RPS6KB2,AKT3,939
RPS6KB2,PRKACB,931
RPS6KB2,JUN,946
RPS6KB2,HSP90AA1,706
RPS6KB2,AKT2,923
RPS6KB2,FKBP1A,733
RPS6KB2,TPT1,793
RPS6KB2,EIF4B,962
RPS6KB2,AKT1,949
RPS6KB2,MTOR,995
RPS6KB2,BRAF,927
RPS6KB2,CARM1,912
RPS6KB2,AKT1S1,972
RPS6KB2,PPP2CA,963
RPS6KB2,NCOA3,913
RPS6KB2,PRKACA,930
RPS6KB2,PRKACG,930
RPS6KB2,SP1,914
PC,SFN,967
F2,F11,767
F2,KNG1,891
F2,MBP,816
F2,TNF,760
F2,LAP3,918
F2,FGA,999
F2,AGT,846
F2,VKORC1,836
F2,CFI,773
F2,F7,926
F2,APOA2,798
F2,EDNRB,910
F2,F5,999
F2,FNZ,792
F2,LPA,781
F2,EDNRA,907
F2,SERPINC1,999
F2,LPAR3,901
F2,LPAR1,905
F2,TF,996
F2,LPAR4,901
F2,LPAR2,902
F2,IL6,703
F2,ELANE,855
F2,FGG,999
F2,MTHFR,935
F2,GC,792
F2,SERPINA5,996
F2,F8,985
F2,AFP,973
F2,C4B,735
F2,SERPINA1,790
F2,GPT,918
F2,A2M,700
F2,F10,999
F2,FHL1,703
F2,PLG,826
F2,GP1BA,992
F2,THBD,999
F2,AGTR1,920
F2,F2R,998
F2,LPAR6,901
GPD2,PYROXD2,808
GPD2,SDHB,930
GPD2,IMPA1,804
GPD2,PC,787
GPD2,GK2,882
GPD2,PSMC5,739
GPD2,PSMC2,739
GPD2,AGPAT2,833
GPD2,MT-CO1,840
GPD2,MT-CO3,816
GPD2,NDUFS8,860
GPD2,MT-CO2,878
GPD2,DGKA,822
GPD2,GK,877
GLE1,NCBP2,705
GLE1,NUP153,924
GLE1,XPO1,756
GLE1,NCBP1,766
GLE1,NUP50,746
GLE1,PIP4K2A,777
GLE1,NUP62,925
PRSS1,PLG,832
PRSS1,F2R,826
PRSS1,PNLIP,729
PRSS1,PRSS2,705
PRSS1,PRSS3,918
PRSS1,SERPINA1,763
PRSS1,MBP,754
PRSS1,CTRB1,863
GABRB3,MECP2,779
GABRB3,ATP10A,826
GABRB3,GABRA2,829
GABRB3,CDKL5,724
GABRB3,GABRG3,774
GABRB3,GABRE,814
GABRB3,GABRD,959
GABRB3,GABRA1,993
GABRB3,GABRA3,855
GABRB3,ANCR,867
GABRB3,GABRG2,990
GABRB3,GABBR1,733
GABRB3,GABRA5,808
GP6,COL4A3,903
GP6,COL9A3,900
GP6,COL4A1,906
GP6,COL6A6,911
GP6,COL4A6,903
GP6,GP1BA,946
GP6,COL6A1,931
GP6,SLC7A11,853
GP6,LYN,997
GP6,CD36,878
GP6,VAV1,740
GP6,COL9A1,904
GP6,ITGB3,724
GP6,LAT,725
GP6,COL9A2,900
GP6,SLK,996
GP6,GP2,835
GP6,COL4A4,900
GP6,COL4A2,907
GP6,FNZ,932
GP6,TF,735
GP6,S100A10,954
GP6,PIK3CB,776
GP6,PLCG2,880
GP6,PIK3CG,724
GP6,SYK,872
GP6,COL4A5,904
GP6,COL8A2,949
GP6,COL2A1,914
SLC19A1,DHFR,729
SLC19A1,TPMT,924
SLC19A1,MTR,719
SLC19A1,MTHFR,813
SLC19A1,MTRR,781
SLC19A1,SLC46A1,806
SLC19A1,TYMS,719
SLC19A1,MTHFD1,706
SLC19A1,FPGS,728
PMP22,MET,971
PMP22,GJB1,942
PLG,PLAU,989
PLG,PLAUR,974
PLG,MMP9,829
PLG,GC,719
PLG,SERPINA1,819
PLG,CTSB,724
PLG,C4B,722
PLG,AFP,708
PLG,ERVW-1,976
PLG,MMP12,707
PLG,ENO1,997
PLG,PGK1,770
PLG,DPP4,904
PLG,SERPINB2,966
PLG,THBD,896
PLG,HMGB1,921
PLG,THBS2,754
PLG,F10,720
PLG,A2M,779
PLG,IGFBP3,874
PLG,F2R,849
PLG,MMP1,706
PLG,KNG1,898
PLG,CPB1,884
PLG,GAPDH,990
PLG,HSPD1,792
PLG,FGA,965
PLG,SERPINC1,992
PLG,ERV3-1,977
PLG,C8G,713
PLG,FNZ,997
PLG,COL18A1,889
PLG,AMOT,993
PLG,IGH,917
PLG,FGG,878
PLG,ANXA2,997
PLG,S100A10,992
PLG,TF,939
SP1,SDC1,734
SP1,CSH2,774
SP1,CSH1,774
PTPN7,PTPN11,720
PTPN7,MAPK9,906
PTPN7,MAPK8,917
PTPN7,MAPK11,936
PTPN7,PTPN5,930
OLR1,HSPD1,703
OLR1,MSR1,739
RCE1,ICMT,998
RCE1,NRAS,813
RCE1,ZMPSTE24,992
RCE1,HRAS,737
CHST1,SULT1C3,756
RPL15,TUBB1,833
RPL15,EEF1B2,968
RPL15,RPL11,999
RPL15,RPS24,999
RPL15,RPL7,999
RPL15,RPL9P8,999
RPL15,RPL18,999
RPL15,RPS21,999
RPL15,PTMA,741
RPL15,SRPRB,818
RPL15,RPL7A,999
RPL15,RPL27A,999
RPL15,RPS10,999
RPL15,RPL36,999
RPL15,RPL6,999
RPL15,RPS19,999
RPL15,RPL23,999
RPL15,RPSA,999
RPL15,RPL10,999
RPL15,RPL34,999
RPL15,RPS18,999
RPL15,RPL5,999
RPL15,RPS16,999
RPL15,G6PD,743
RPL15,RPS17,999
RPL15,RPL30,999
RPL15,EEF1G,983
RPL15,PKLR,851
RPL15,RPLP1,999
RPL15,RPS4X,999
RPL15,RPS7,999
RPL15,RPL4,999
RPL15,RPS28,999
RPL15,TEX10,735
RPL15,RPS5,999
RPL15,EEF1A1,990
RPL15,RPL10A,999
RPL15,RPS25,999
RPL15,RPL23A,999
RPL15,ERF,946
RPL15,RPS20,999
RPL15,RPL37A,999
RPL15,RPS15,999
RPL15,RPS2,999
RPL15,RPS8,999
RPL15,BTF3,951
RPL15,RPS6,999
RPL15,RPL26,999
RPL15,GNL3,815
RPL15,RPL31,999
RPL15,RPL3,999
RPL15,RPL28,999
RPL15,RPS27,999
RPL15,RPL35A,999
RPL15,RPS26,999
RPL15,PKM,840
RPL15,SRP19,895
RPL15,NOP2,866
RPL15,RRP1B,831
RPL15,EIF5A,926
RPL15,RPL14,999
RPL15,RPL21,999
RPL15,RPS29,999
RPL15,RPL36A,997
RPL15,RPS14,999
RPL15,RPL12,999
RPL15,EEF1D,925
RPL15,NOC3L,847
RPL15,NGB,975
RPL15,RPS15A,999
RPL15,RPS9,999
RPL15,EPRS1,902
RPL15,RPL38,999
RPL15,RPL13A,999
RPL15,RPL39,998
RPL15,RPL17,994
RPL15,TPT1,957
RPL15,RPL22,999
RPL15,RPL27,999
RPL15,GSPT1,906
RPL15,NPSR1,959
RPL15,FAU,999
RPL15,RPL32,999
RPL15,RPLP0,999
RPL15,RPS13,999
RPL15,RPS3A,999
HOXC5,HOXB4,839
HOXC5,HOXB6,881
HOXC5,HOXC4,965
CLC,CNTFR,994
CLC,CNTF,952
CLC,LIFR,982
CLC,IL6ST,959
PSMD1,PSMA1,999
PSMD1,ADRM1,999
PSMD1,PSME1,863
PSMD1,VCP,778
PSMD1,PSMD6,999
PSMD1,PSMB5,997
PSMD1,RPSA,745
PSMD1,PSMB10,861
PSMD1,PSMC2,999
PSMD1,PSMA7,998
PSMD1,PSMD4,999
PSMD1,EEF1A1,748
PSMD1,PSME4,818
PSMD1,PSMC5,999
PSMD1,PSMC3,999
PSMD1,PSMD9,975
PSMD1,RPS8,712
PSMD1,PSMB3,998
PSMD1,PSMC6,999
PSMD1,RPL35A,704
PSMD1,PSMD14,999
PSMD1,PSMB9,972
PSMD1,PSMB8,948
PSMD1,SEM1,837
PSMD1,PSMB2,999
PSMD1,EPRS1,915
PSMD1,PSMD2,999
PSMD1,RPL27,728
PSMD1,PSMA8,924
PSMD1,PSMD12,999
PSMD1,PSMD13,999
ACO1,FXN,965
ACO1,IDH2,998
ACO1,FECH,823
ACO1,HAMP,703
ACO1,TFRC,888
ACO1,MDH2,893
ACO1,SOD2,937
ACO1,OGDH,784
ACO1,ALAS2,843
ACO1,ALAD,711
ACO1,IDH1,998
ACO1,SENP8,914
ACO1,HSPD1,771
ACO1,FH,936
ACO1,ACLY,981
ACO1,PC,730
ACO1,SDHB,896
CSHL1,CSH1,904
CSHL1,CSH2,893
PGA5,PGA3,976
PGA5,GLO1,748
TERT,HNRNPC,838
TERT,RAD52,770
TERT,CTNNB1,995
TERT,CDKN2A,817
TERT,TPP1,982
TERT,PTGES3,989
TERT,AKT1,903
TERT,MTOR,738
TERT,BRAF,815
TERT,XRCC5,948
TERT,HSP90AB1,987
TERT,HIF1A,702
TERT,HSP90AA1,998
TERT,TCF7L2,919
TERT,MYC,920
TERT,SMARCA4,990
TERT,ARID1A,781
TERT,RAD54L,794
TERT,IDH1,781
TERT,DKC1,999
PRKACA,CAV1,922
PRKACA,ADORA2A,705
PRKACA,INS,738
PRKACA,BCL2,706
PRKACA,RUNX2,937
PRKACA,DYRK1A,706
PRKACA,ADCY3,968
PRKACA,PDE4B,844
PRKACA,ARHGDIA,931
PRKACA,IGF1R,921
PRKACA,PDE7A,784
PRKACA,GRIN3A,722
PRKACA,RAPGEF3,986
PRKACA,PPARA,946
PRKACA,EZR,998
PRKACA,F2,900
PRKACA,ESR1,956
PRKACA,ESR2,943
PRKACA,GCG,701
PRKACA,PRKAA2,921
PRKACA,RAF1,923
PRKACA,NFATC1,927
PRKACA,CSNK1G3,907
PRKACA,MAPT,915
PRKACA,GLI3,963
PRKACA,AR,939
PRKACA,TNNI3,952
PRKACA,PDE3A,928
PRKACA,RELA,992
PRKACA,PRKAA1,923
PRKACA,GSK3B,990
PRKACA,PRKACB,987
PRKACA,GRIA3,922
PRKACA,SCN7A,902
PRKACA,NR5A1,934
PRKACA,KCNJ6,916
PRKACA,JUN,963
PRKACA,AKAP13,908
PRKACA,ATP2B2,924
PRKACA,SCN5A,937
PRKACA,PTK2,911
PRKACA,PSEN1,936
PRKACA,RYR2,994
PRKACA,NR4A1,932
PRKACA,CSNK1E,925
PRKACA,HSP90AA1,794
PRKACA,CACNA1F,915
PRKACA,FOXO1,974
PRKACA,TRPV1,963
PRKACA,CREB1,996
PRKACA,KCNJ5,932
PRKACA,SCN1B,908
PRKACA,RAPGEF4,983
PRKACA,PGR,937
PRKACA,KCNJ9,909
PRKACA,GYS1,933
PRKACA,FKBP1B,845
PRKACA,CDC25C,914
PRKACA,ITGB1,914
PRKACA,ATP1A3,730
PRKACA,GNAI1,739
PRKACA,FOXO3,938
PRKACA,ABCC8,935
PRKACA,KCNMB2,900
PRKACA,NPPA,712
PRKACA,GRIN2B,951
PRKACA,GRIN2A,942
PRKACA,RHOA,967
PRKACA,ATP1B1,707
PRKACA,BAD,971
PRKACA,POMC,770
PRKACA,GSKIP,771
PRKACA,BRAF,922
PRKACA,CSNK1D,924
PRKACA,GNAS,827
PRKACA,ATP1A4,730
PRKACA,ATP2B1,921
PRKACA,GNAI2,744
PRKACA,LRBA,718
PRKACA,SUFU,966
PRKACA,PDE4D,968
PRKACA,GRIA1,970
PRKACA,ATP1A1,742
PRKACA,KCNE1,952
PRKACA,NCOA3,919
PRKACA,PRL,906
PRKACA,MAP2,792
PRKACA,ATP2B4,929
PRKACA,CARM1,918
PRKACA,LINC00473,792
PRKACA,MAP3K5,909
PRKACA,ATF4,926
PRKACA,AKT1S1,924
PRKACA,PDE4A,966
PRKACA,SCN4B,909
PRKACA,GRIN1,773
PRKACA,CACNA2D1,701
PRKACA,NBEA,773
PRKACA,KCNK2,960
PRKACA,SP1,937
PRKACA,ADCY6,861
PRKACA,PRKACG,965
PRKACA,PKM,927
PRKACA,CACNA1S,919
PRKACA,CTNNB1,957
PRKACA,PDE4C,814
PRKACA,ALDH7A1,890
PRKACA,MYLK,908
PRKACA,ADCY2,859
MAP3K11,RAC1,707
MAP3K11,DLG4,747
MAP3K11,FOSL1,815
MAP3K11,GRIK2,799
MAP3K11,CAPN1,782
MAP3K11,RELA,752
MAP3K11,FKBP2,769
MAP3K11,MAP2K7,985
MAP3K11,RHOG,748
MAP3K11,CDC42,993
MAP3K11,MAP2K4,829
MAP3K11,COX8A,769
SLCO4C1,SLC22A8,727
APOBEC3F,TRIM5,704
APOBEC3F,CDA,837
APOBEC3F,UQCRB,759
APOBEC3F,CBFB,967
APOBEC3F,APOBEC3G,933
APOBEC3F,UQCR10,711
RPL38,RPL7,999
RPL38,RPS21,999
RPL38,RPL9P8,999
RPL38,RPL18,999
RPL38,EEF1B2,756
RPL38,TUBB1,817
RPL38,RPS24,999
RPL38,RPL11,999
RPL38,RPL27A,999
RPL38,RPS10,999
RPL38,SRPRB,851
RPL38,RPL7A,999
RPL38,RPL6,999
RPL38,RPL36,999
RPL38,NR0B1,720
RPL38,RPSA,999
RPL38,RPL23,999
RPL38,RPS19,999
RPL38,RPL34,999
RPL38,RPS18,999
RPL38,RPL10,999
RPL38,RPS16,999
RPL38,RPL5,999
RPL38,RPL30,999
RPL38,G6PD,748
RPL38,ABCF1,929
RPL38,RPS17,999
RPL38,TEX10,746
RPL38,RPS28,999
RPL38,RPS5,999
RPL38,RPLP1,999
RPL38,RPL4,999
RPL38,RPS4X,998
RPL38,RPS7,999
RPL38,RPL23A,999
RPL38,ERF,904
RPL38,RPS20,999
RPL38,RPL10A,999
RPL38,EEF1A1,947
RPL38,RPS25,999
RPL38,BTF3,973
RPL38,RPS6,999
RPL38,RPL26,999
RPL38,RPL37A,999
RPL38,RPS8,999
RPL38,RPS15,999
RPL38,RPS2,999
RPL38,RPL41,983
RPL38,GNL3,813
RPL38,RPL35A,999
RPL38,DHX9,915
RPL38,RPL3,999
RPL38,RPL31,999
RPL38,RPL28,999
RPL38,RPS27,999
RPL38,SRP19,902
RPL38,EIF5A,822
RPL38,NOP2,787
RPL38,RPS26,999
RPL38,RPS29,999
RPL38,RPL36A,997
RPL38,RPL14,999
RPL38,RPL21,999
RPL38,NGB,970
RPL38,NOC3L,860
RPL38,RPS15A,999
RPL38,RPS14,999
RPL38,EEF1D,787
RPL38,RPL12,999
RPL38,RPL39,999
RPL38,RPL13A,999
RPL38,RPL17,995
RPL38,EPRS1,901
RPL38,RPS9,999
RPL38,RPLP0,999
RPL38,RPL32,999
RPL38,RPL22,999
RPL38,RPL27,999
RPL38,TPT1,770
RPL38,NPSR1,927
RPL38,FAU,999
RPL38,GSPT1,916
RPL38,RPS3A,999
RPL38,RPS13,999
LAT,BCL2L1,750
LAT,BCL2,715
ADAM17,TNFRSF1B,722
ADAM17,CD163,835
ADAM17,NOTCH1,953
ADAM17,TGFA,923
ADAM17,ACE2,887
ADAM17,GHR,788
ADAM17,KL,708
ADAM17,TNF,950
ADAM17,SELL,853
ADAM17,NOTCH4,938
ADAM17,CD9,782
ADAM17,BTC,744
ADAM17,TEC,986
ADAM17,AREG,708
ADAM17,PSEN1,712
CD34,SELE,953
CD34,MPL,791
CD34,ENG,919
CD34,IL10,718
CD34,CD19,900
CD34,CXCL12,856
CD34,MMP9,710
CD34,TFRC,728
CD34,CD2,783
CD34,DNTT,726
CD34,FCGR3A,816
CD34,TET2,710
CD34,CRKL,728
CD34,BAK1,756
CD34,VDAC1,734
CD34,ITGB1,887
CD34,C8A,724
CD34,CD8A,874
CD34,ITGAL,719
CD34,CDH5,880
CD34,CD1D,701
CD34,ITGAX,718
CD34,NCAM1,821
CD34,ABL1,783
CD34,PTPRC,919
CD34,FCGR1A,758
CD34,FCGR3B,803
CD34,IL3RA,785
CD34,CD7,811
CD34,TNF,712
CD34,LAP3,815
CD34,CD44,912
CD34,SLC25A5,720
CD34,SPG7,720
CD34,TPO,904
CD34,PROM1,928
CD34,SELL,999
CD34,BCL2,945
CD34,PECAM1,940
CD34,PSMA7,799
CD34,GYPB,793
CD34,C8B,720
CD34,ITGAM,872
CD34,TEK,728
CD34,CD5,731
CD34,GATA2,757
CD34,PC,805
CD34,FNZ,960
CD34,MME,841
CD34,IL6,830
CD34,SLAMF1,759
CD34,C7,739
CD34,ANO1,788
CD34,MATK,767
CD34,FUT4,861
PSMD2,PSMA8,962
PSMD2,PSMD12,999
PSMD2,GABBR1,751
PSMD2,PSMD13,999
PSMD2,PSMC6,999
PSMD2,PSMB3,998
PSMD2,PRNP,750
PSMD2,ANCR,798
PSMD2,PSMB8,934
PSMD2,PSMB9,971
PSMD2,PSMD14,999
PSMD2,SEM1,849
PSMD2,PSMB2,999
PSMD2,PSMB10,868
PSMD2,PSMD4,999
PSMD2,PSMA7,998
PSMD2,PSMC2,999
PSMD2,PSME4,830
PSMD2,PSMC3,999
PSMD2,PSMC5,999
PSMD2,RPS2,752
PSMD2,PSMD9,982
PSMD2,CDKN1A,715
PSMD2,PSMA1,999
PSMD2,ADRM1,999
PSMD2,VCP,910
PSMD2,PSMD6,999
PSMD2,RPSA,720
PSMD2,PSMB5,997
PSMD2,HTT,720
PSMD2,BAG1,820
FOSL1,MAPK11,805
FOSL1,FKBP2,775
FOSL1,MAPK8,948
FOSL1,EGR3,702
FOSL1,ATF4,796
FOSL1,COX8A,766
FOSL1,MEN1,704
FOSL1,MAPK9,938
FOSL1,MARK2,775
FOSL1,JUN,999
FOSL1,RELA,876
FOSL1,ATF3,880
FOSL1,CREB1,848
FOSL1,CAPN1,763
RASGRP1,RASGRP3,817
RASGRP1,SOS1,929
RASGRP1,HRAS,942
RASGRP1,GRB2,849
RASGRP1,DGKA,871
RASGRP1,NRAS,949
RASGRP1,ITK,725
SP3,SP1,912
SP3,HDAC2,827
SP3,ESR1,840
SP3,HDAC1,873
P2RY2,P2RY6,790
P2RY2,PLCB1,711
P2RY2,P2RY11,726
P2RY2,SRC,787
P2RY2,SFTPB,750
P2RY2,P2RX7,768
XCR1,CCL5,921
XCR1,CXCL1,838
XCR1,CCL8,940
XCR1,CCL18,753
XCR1,CCL7,840
XCR1,ARRB2,730
XCR1,NR1H4,783
XCR1,CCL25,777
XCR1,SIRPA,714
XCR1,CXCL12,864
XCR1,CXCL2,729
XCR1,THBD,785
XCR1,CCL3,901
XCR1,ARRB1,725
XCR1,CCL20,772
XCR1,CCL4,856
XCR1,GPBAR1,794
GLS,GCLC,867
GLS,GAD2,946
GLS,GGT7,836
GLS,EPRS1,805
GLS,GATM,835
GLS,CPS1,923
GLS,ALDH3A2,816
GLS,SLC1A5,834
GLS,GLDC,866
GLS,ALDH9A1,858
GLS,GCLM,865
GLS,HIP1,700
GLS,GFPT1,929
GLS,FDXR,742
GLS,OPLAH,835
GLS,ALDH1B1,812
GLS,GK,972
GLS,ALDH7A1,812
ARHGAP1,RHOA,999
ARHGAP1,RHOG,744
ARHGAP1,CDC42,999
ARHGAP1,OCRL,760
ARHGAP1,RAC1,855
ARHGAP1,ARHGDIA,711
ARHGAP1,AMOT,864
ERCC4,BRCA2,852
ERCC4,POLD1,962
ERCC4,XPA,999
ERCC4,XRCC5,976
ERCC4,EXO1,830
ERCC4,ERCC5,975
ERCC4,FANCA,912
ERCC4,BRCA1,914
ERCC4,BLM,819
ERCC4,REV3L,744
ERCC4,XRCC3,788
ERCC4,FANCG,879
ERCC4,PARP1,718
ERCC4,PRKDC,935
ERCC4,ERCC6,934
ERCC4,CHEK2,760
ERCC4,ATR,745
ERCC4,TDP1,779
ERCC4,RAD52,962
ERCC4,MAG,988
ERCC4,UBE2T,832
ERCC4,DNA2,725
ERCC4,RAD51,927
ERCC4,KDM1A,907
ERCC4,XRCC4,945
PSMC5,PSMC3,999
PSMC5,RPL23A,740
PSMC5,PSME4,715
PSMC5,PSMD9,981
PSMC5,PSMB10,871
PSMC5,THRB,706
PSMC5,PSMD4,999
PSMC5,RPS4X,718
PSMC5,PSMA7,996
PSMC5,PSMC2,999
PSMC5,PSMB5,999
PSMC5,RPL23,735
PSMC5,RPS19,821
PSMC5,PSMD6,999
PSMC5,HTT,770
PSMC5,RPL5,760
PSMC5,RPL7,776
PSMC5,PSMA1,998
PSMC5,RPL11,725
PSMC5,VCP,808
PSMC5,PSME1,842
PSMC5,ADRM1,998
PSMC5,PSMA8,965
PSMC5,PSMD13,999
PSMC5,MTOR,994
PSMC5,PSMD12,999
PSMC5,RPS13,705
PSMC5,PSMB8,981
PSMC5,PSMB9,924
PSMC5,PSMD14,999
PSMC5,PSMB2,999
